,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,iti,pair_type,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img_path,right_img_path,accuracy,onset,duration,no_response,left_chosen,chosen_category,unchosen_category,chosen_size_group,unchosen_size_group,chosen_size_num,unchosen_size_num,chosen_exemplar,unchosen_exemplar,size_final_tally
0,True,full_screen,d06032022hr2344,fullscreen,0,3023,0.0-0.0,0,0,27712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,size_instructions,,instructions,1,26324,0.0-1.0-0.0-0.0,0,0,27712,"[{""page_index"":0,""viewing_time"":5961},{""page_index"":1,""viewing_time"":4441},{""page_index"":2,""viewing_time"":3819},{""page_index"":3,""viewing_time"":2549},{""page_index"":4,""viewing_time"":5407},{""page_index"":5,""viewing_time"":1119}]",23299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,size_comprehension_check,,survey-multi-choice,2,35930,0.0-1.0-0.0-1.0,0,0,27712,,9600.0,"{""Q0"":""True"",""Q1"":""Size in the real world"",""Q2"":""True"",""Q3"":""D for left and K for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,39704,0.0-1.0-1.0,0,0,27712,,3770.0,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,size_choice,,html-keyboard-response,4,41208,0.0-1.0-2.0,0,0,27712,,,,,,0.0,0.0,1.0,2000.0,L-L,,L,L,3.0,3.0,deskchair,mailbox,deskchair10,mailbox3,19.0,42.0,/static/Size_judgement/Stimuli/Size_stims/L/deskchair/deskchair2.jpg,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox1.jpg,,1.5,1.5,1.0,,,,,,,,,,
5,,iti,,html-keyboard-response,5,43213,0.0-1.0-4.0,0,0,27712,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,,,,,,,,,,,
6,,size_choice,,html-keyboard-response,6,44488,0.0-1.0-6.0,0,0,27712,,1273.0,,,68.0,1.0,1.0,1.0,1000.0,S-XL,1.0,XL,S,4.0,1.0,dumptruck,teabag,dumptruck9,teabag3,178.0,132.0,/static/Size_judgement/Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,/static/Size_judgement/Stimuli/Size_stims/S/teabag/teabag1.jpg,1.0,4.773,1.273,0.0,1.0,dumptruck,teabag,XL,S,4.0,1.0,dumptruck9,teabag3,
7,,size_choice_confirmation,,html-keyboard-response,7,44717,0.0-1.0-7.0-0.0,0,0,27712,,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,0.227,,,,,,,,,,,
8,,iti,,html-keyboard-response,8,45719,0.0-1.0-8.0,0,0,27712,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,
9,,size_choice,,html-keyboard-response,9,46668,0.0-1.0-10.0,0,0,27712,,947.0,,,68.0,2.0,2.0,1.0,1000.0,M-L,1.0,L,M,3.0,2.0,mailbox,ketchup,mailbox9,ketchup7,48.0,96.0,/static/Size_judgement/Stimuli/Size_stims/L/mailbox/mailbox9.jpg,/static/Size_judgement/Stimuli/Size_stims/M/ketchup/ketchup4.jpg,1.0,6.947,0.947,0.0,1.0,mailbox,ketchup,L,M,3.0,2.0,mailbox9,ketchup7,
