"trial_num","is_practice","block","condition","iti","isi","high_group_on_left","left_group_value","right_group_value","left_item_value","right_item_value","delta_item_value","left_img","right_img","left_img_path","right_img_path"
0,0,1,"easy",1000,2000,0,20,80,20,60,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
1,0,1,"easy",3500,1000,1,80,20,60,0,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
2,0,1,"hard",3500,3000,1,60,40,60,40,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
3,0,1,"hard",2000,1500,1,60,40,80,60,20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
4,0,1,"hard",1000,1000,0,40,60,40,40,0,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
5,0,1,"hard",1500,1500,1,60,40,80,20,60,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
6,0,1,"easy",1000,1500,0,20,80,40,60,-20,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
7,0,1,"easy",2000,3000,1,80,20,60,40,20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
8,0,1,"hard",1500,1000,0,40,60,40,80,-40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
9,0,1,"easy",3000,1000,1,80,20,100,40,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
10,0,1,"hard",1000,1000,0,40,60,60,40,20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
11,0,1,"easy",3000,3500,1,80,20,80,20,60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
12,0,1,"easy",1500,1000,1,80,20,80,40,40,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
13,0,1,"easy",1000,1000,0,20,80,0,100,-100,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
14,0,1,"hard",1000,1500,0,40,60,20,40,-20,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
15,0,1,"hard",1500,2000,1,60,40,60,60,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
16,0,1,"easy",2000,2000,1,80,20,100,0,100,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
17,0,1,"easy",1000,1000,0,20,80,40,80,-40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
18,0,1,"hard",1500,1000,1,60,40,40,40,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
